Nama.Produk,Harga,Gambar,Berat,Kipas,Backlight.Keyboard,Volume,Lebar,Ketinggian,Ketebalan,ukuran.layar,Resolusi,Kerapatan.Piksel,Jenis.Layar,Layar.Sentuh,Anti.Pantul,RAM,Kecepatan.RAM,Penyimpanan.Flash,Penyimpanan.Internal,Kecepatan.CPU,Thread.CPU,SSD.NVME,HDMI,USB.Daya,Adaptor.Magsafe,Suara.Stereo,"Konektor.Suara.3,5mm",Dolby.Atmos,Stylus,Pemindai.Sidikjari,Jumlah.Mikrofon,Pengenal.Wajah.3D
"Huawei MateBook 14"" (KLV-W19D) Intel Core i5-8265U 1.6GHz / 8GB RAM / 512GB SSD",240,https://images.versus.io/objects/huawei-matebook-14-klv-w19d-intel-core-i5-8265u-1-6ghz-8gb-ram-512gb-ssd.front.master.1583343538032.jpg,1.53,0,1,1094213,307.5,223.8,15.9,14,2160 x 1440px,185,"IPS, LCD, LED-backlit",0,0,8,2400,1,512,4 x 1.6GHz,8,0,1,0,0,1,1,0,0,1,4,0
"Lenovo IdeaPad S340 15.6"" AMD Ryzen 5 3500U 2.1GHz / 8GB RAM / 256GB SSD",498,https://images.versus.io/objects/lenovo-ideapad-s340-15-6-amd-ryzen-5-3500u-2-1ghz-8gb-ram-256gb-ssd.front.master.1576684641045.jpg,1.79,0,1,1570013,358,245,17.9,15.6,1920 x 1080px,141,"IPS, LCD, LED-backlit",1,1,8,2400,1,256,4 x 2.1GHz,8,0,1,0,0,1,1,0,0,0,2,0
"Sony Vaio Z Flip 13.3"" Intel Core i7-6567U 3.3Ghz / 8GB / 256GB",846,https://images.versus.io/objects/sony-vaio-z-flip-13-3-intel-core-i7-6567u-3-3ghz-8gb-256gb.front.master.1576684641045.jpg,1.34,0,1,1172833,324.1,215.4,16.8,13.3,2560 x 1440px,220,"IPS, LCD, LED-backlit",1,0,8,1866,1,256,2 x 3.3GHz,4,0,1,1,0,1,1,0,1,0,2,0
"Sony Vaio Z Flip 13.3"" Intel Core i7-6567U 3.3Ghz / 16GB / 512GB",1.2,https://images.versus.io/objects/sony-vaio-z-flip-13-3-intel-core-i7-6567u-3-3ghz-16gb-512gb.front.master.1576684641045.jpg,1.34,0,1,1172833,324.1,215.4,16.8,13.3,2560 x 1440px,220,"IPS, LCD, LED-backlit",1,0,16,1866,1,512,2 x 3.3GHz,4,0,1,1,0,1,1,0,1,0,2,0
"Lenovo IdeaPad C340 15.6"" Intel Core i7-8565U 1.8GHz / 16GB RAM / 512GB SSD",458,https://images.versus.io/objects/lenovo-ideapad-c340-15-6-intel-core-i7-8565u-1-8ghz-16gb-ram-512gb-ssd.front.master.1576684641045.jpg,2,0,1,1865.53,364,250,20.5,15.6,1920 x 1080px,141,"IPS, LCD, LED-backlit",1,0,16,2400,1,512,4 x 1.8GHz,8,0,1,1,0,1,1,0,0,1,2,0
"Huawei MateBook 14"" (KLV-W29B) Intel Core i7-8565U 1.8GHz / 16GB RAM / 512GB SSD",859,https://images.versus.io/objects/huawei-matebook-14-klv-w29b-intel-core-i7-8565u-1-8ghz-16gb-ram-512gb-ssd.front.master.1583333300692.jpg,1.53,0,1,1094213,307.5,223.8,15.9,14,2160 x 1440px,185,"IPS, LCD, LED-backlit",1,0,16,2400,1,512,4 x 1.8GHz,8,0,1,1,0,1,1,0,0,1,4,0
"Acer Chromebook Spin 11 (2017) 11.6"" Intel Celeron N3450 1.1GHz / 4GB / 64GB",71,https://images.versus.io/objects/acer-chromebook-spin-11-2017-11-6-intel-celeron-n3450-1-1ghz-4gb-64gb.front.master.1576684641045.jpg,1.4,0,0,1274.43,296,206,20.9,11.6,1366 x 768px,135,"IPS, LCD, LED-backlit",1,0,4,2400,1,64,4 x 1.1GHz,4,0,0,1,0,1,1,0,0,0,1,0
"Acer Spin 5 13.3"" Intel Core i3-7100U / 2.4GHz / 4GB /128GB SSD",410,https://images.versus.io/objects/acer-spin-5-13-3-intel-core-i3-7100u-2-4ghz-4gb-128gb-ssd.front.master.1576684641045.jpg,1.6,0,1,1520723,327.7,228.6,20.3,13.3,1920 x 1080px,166,"IPS, LCD, LED-backlit",1,0,4,2133,1,128,2 x 2.4GHz,4,0,1,1,0,1,1,0,0,0,1,0
"Sony Vaio Z Flip 13.3"" Intel Core i5-6267U 2.9Ghz / 8GB / 256GB",512,https://images.versus.io/objects/sony-vaio-z-flip-13-3-intel-core-i5-6267u-2-9ghz-8gb-256gb.front.master.1576684641045.jpg,1.34,0,1,1172833,324.1,215.4,16.8,13.3,2560 x 1440px,220,"IPS, LCD, LED-backlit",1,0,8,1866,1,256,2 x 2.9GHz,4,0,1,1,0,1,1,0,1,0,2,0
Acer Spin 3 15.6â€? Intel Core i3-7100U 2.4GHz / 6GB / 1TB,410,https://images.versus.io/objects/acer-spin-3-15-6-intel-core-i3-7100u-2-4ghz-6gb-1tb.front.master.1576684641045.jpg,2.15,0,1,2164.13,381.5,251,22.6,15.6,1920 x 1080px,141,"IPS, LCD, LED-backlit",1,1,6,2133,0,1000,2 x 2.4GHz,4,0,1,1,0,1,1,0,0,0,1,0
"Acer Chromebook Spin 11 (2017) 11.6"" Intel Celeron N3450 1.1GHz / 8GB / 64GB",229,https://images.versus.io/objects/acer-chromebook-spin-11-2017-11-6-intel-celeron-n3450-1-1ghz-8gb-64gb.front.master.1576684641045.jpg,1.4,0,0,1274.43,296,206,20.9,11.6,1366 x 768px,135,"IPS, LCD, LED-backlit",1,0,8,2400,1,64,4 x 1.1GHz,4,0,0,1,0,1,1,0,1,0,1,0
"Asus VivoBook X556UQ 15.6"" Intel Core i3-7100U / 2.4GHz / 4GB / 1TB",560,https://images.versus.io/objects/asus-vivobook-x556uq-15-6-intel-core-i3-7100u-2-4ghz-4gb-1tb.front.master.1576684641045.jpg,2.3,0,0,2513183,382,258,25.5,15.6,1920 x 1080px,141,"LED-backlit, LCD",0,1,4,2133,0,1000,2 x 2.4GHz,4,0,1,1,0,1,1,0,0,0,1,0
"HP EliteBook x360 1020 G2 12.5"" Intel Core i5-7200U 2.5GHz / 8GB / 128GB SSD",580,https://images.versus.io/objects/hp-elitebook-x360-1020-g2-12-5-intel-core-i5-7200u-2-5ghz-8gb-128gb-ssd.front.master.1576684641045.jpg,1.13,0,1,796943,289.8,203.7,13.5,12.5,1920 x 1080px,176,"IPS, LCD, LED-backlit",1,1,8,2133,1,128,2 x 2.5GHz,4,0,1,1,0,1,1,0,0,1,2,0
"HP Envy 13 13.3"" Intel Core i5-7200U 2.5GHz / 8GB / 128GB SSD",200,https://images.versus.io/objects/hp-envy-13-13-3-intel-core-i5-7200u-2-5ghz-8gb-128gb-ssd.front.master.1576684641045.jpg,1.32,0,1,923033,305.8,215.6,14,13.3,1920 x 1080px,166,"IPS, LCD, LED-backlit",1,0,8,1600,1,128,2 x 2.5GHz,4,0,0,1,0,1,1,0,0,0,2,0
"Asus VivoBook X556UQ 15.6"" Intel Core i3-6100U / 2.3GHz / 4GB / 500GB",460,https://images.versus.io/objects/asus-vivobook-x556uq-15-6-intel-core-i3-6100u-2-3ghz-4gb-500gb.front.master.1576684641045.jpg,2.3,0,0,2513183,382,258,25.5,15.6,1366 x 768px,100,"LED-backlit, LCD",0,1,4,2133,0,500,2 x 2.3GHz,4,0,1,1,0,1,1,0,0,0,1,0
"Asus VivoBook X556UQ 15.6"" Intel Core i5- 7200U / 2.5GHz / 8GB / 1TB",500,https://images.versus.io/objects/asus-vivobook-x556uq-15-6-intel-core-i5-7200u-2-5ghz-8gb-1tb.front.master.1576684641045.jpg,2.3,0,0,2513183,382,258,25.5,15.6,1366 x 768px,100,"LED-backlit, LCD",0,1,8,2133,0,1000,2 x 2.5GHz,4,0,1,1,0,1,1,0,0,0,1,0
"Asus VivoBook X556UQ 15.6"" Intel Core i7-7500U / 2.7GHz / 4GB / 2TB",1279,https://images.versus.io/objects/asus-vivobook-x556uq-15-6-intel-core-i7-7500u-2-7ghz-4gb-2tb.front.master.1576684641045.jpg,2.3,0,0,2513183,382,258,25.5,15.6,1920 x 1080px,141,"LED-backlit, LCD",0,1,4,2133,0,2000,2 x 2.7GHz,4,0,1,1,0,1,1,0,0,0,1,0
"Asus VivoBook X556UQ 15.6"" Intel Core i7-7500U / 2.7GHz / 4GB / 1TB",565,https://images.versus.io/objects/asus-vivobook-x556uq-15-6-intel-core-i7-7500u-2-7ghz-4gb-1tb.front.master.1576684641045.jpg,2.3,0,0,2513183,382,258,25.5,15.6,1920 x 1080px,141,"LED-backlit, LCD",0,1,4,2133,0,1000,2 x 2.7GHz,4,0,1,1,0,1,1,0,0,0,1,0
"Lenovo Miix 720 12"" Intel Core i5-7200U 2.5Ghz / 8GB / 512GB",1.28,https://images.versus.io/objects/lenovo-miix-720-12-intel-core-i5-7200u-2-5ghz-8gb-512gb.front.master.1576684641045.jpg,1.1,0,1,9243,293,216,14.6,12,2880 x 1920px,288,"IPS, LCD, LED-backlit",1,0,8,2133,1,512,2 x 2.5GHz,4,0,0,1,0,1,1,0,0,0,1,0
"Toshiba Portege X30-D-BTO 13.3"" Intel Core i5-7300U 2.6GHz / 4GB / 128GB SSD",226,https://images.versus.io/objects/toshiba-portege-x30-d-bto-13-3-intel-core-i5-7300u-2-6ghz-4gb-128gb-ssd.front.master.1576684641045.jpg,1.05,0,1,1140543,316,227,15.9,13.3,1366 x 768px,118,"LED-backlit, LCD",1,1,4,2133,1,128,2 x 2.6GHz,4,0,1,1,0,1,1,0,0,1,2,0
"Toshiba Portege X30-D1352 13.3"" Intel Core i5-7300U 2.6GHz / 8GB / 256GB SSD",226,https://images.versus.io/objects/toshiba-portege-x30-d1352-13-3-intel-core-i5-7300u-2-6ghz-8gb-256gb-ssd.front.master.1576684641045.jpg,1.05,0,1,1140543,316,227,15.9,13.3,1920 x 1080px,166,"LED-backlit, LCD",1,1,8,2133,1,256,2 x 2.6GHz,4,0,1,1,0,1,1,0,0,1,2,0
"Acer Chromebook Spin 11 (2017) 11.6"" Intel Celeron N3350 1.1GHz / 4GB / 64GB",180,https://images.versus.io/objects/acer-chromebook-spin-11-2017-11-6-intel-celeron-n3350-1-1ghz-4gb-64gb.front.master.1576684641045.jpg,1.4,0,0,1274.43,296,206,20.9,11.6,1366 x 768px,135,"IPS, LCD, LED-backlit",1,0,4,2400,1,64,2 x 1.1GHz,2,0,0,1,0,1,1,0,0,0,1,0
"Asus TUF Gaming FX505GD 15.6"" Intel Core i7-8750H 2.2GHz / Nvidia GeForce GTX 1050 Laptop / 16GB RAM / 1TB SSD + 256GB SSD",1.34,https://images.versus.io/objects/asus-tuf-gaming-fx505gd-15-6-intel-core-i7-8750h-2-2ghz-nvidia-geforce-gtx-1050-laptop-16gb-ram-1tb-ssd-256gb-ssd.front.master.1687001084371.jpg,2.2,0,1,23583,360,262,25,15.6,1920 x 1080px,141,IPS,0,1,16,2666,1,1024,6 x 2.2GHz,12,0,1,1,0,1,1,0,0,0,1,0
"Lenovo Miix 720 12"" Intel Core i7-7500U 2.7Ghz / 16GB / 1TB",760,https://images.versus.io/objects/lenovo-miix-720-12-intel-core-i7-7500u-2-7ghz-16gb-1tb.front.master.1576684641045.jpg,1.1,0,1,9243,293,216,14.6,12,2880 x 1920px,288,"IPS, LCD, LED-backlit",1,0,16,2133,1,1024,2 x 2.7GHz,4,0,0,1,0,1,1,0,0,0,1,0
"Acer ConceptD 7 CN715-72G-703T 15.6"" Intel Core i7-10875H 2.3GHz / Nvidia GeForce RTX 2080 Super Max-Q Laptop / 32GB RAM / 2TB SSD",1157,https://images.versus.io/objects/acer-conceptd-7-cn715-72g-703t-15-6-intel-core-i7-10875h-2-3ghz-nvidia-geforce-rtx-2080-super-max-q-laptop-32gb-ram-2tb-ssd.front.master.1696937342244.jpg,2.1,0,1,1545843,358,254,17,15.6,3840 x 2160px,282,"LCD, LED-backlit",0,0,32,2933,1,2048,8 x 2.3GHz,16,1,1,0,0,1,1,0,0,0,1,0
"Acer Chromebook Spin 11 (2017) 11.6"" Intel Celeron N3350 1.1GHz / 4GB / 32GB",71,https://images.versus.io/objects/acer-chromebook-spin-11-2017-11-6-intel-celeron-n3350-1-1ghz-4gb-32gb.front.master.1576684641045.jpg,1.4,0,0,1274.43,296,206,20.9,11.6,1366 x 768px,135,"IPS, LCD, LED-backlit",1,0,4,2400,1,32,2 x 1.1GHz,2,0,0,1,0,1,1,0,0,0,1,0
"Acer Nitro 5 15.6"" Intel Core i5-10300H 2.5GHz / 8GB RAM / 256GB SSD",666,https://images.versus.io/objects/acer-nitro-5-15-6-intel-core-i5-10300h-2-5ghz-16gb-ram-512gb-ssd.front.master.1588370752634.jpg,2.3,0,1,2204843,363.2,254,23.9,15.6,1920 x 1080px,141,"IPS, LCD, LED-backlit",0,0,8,2933,1,256,4 x 2.5GHz,8,0,1,1,0,1,1,0,0,0,1,0
"Acer Nitro 5 15.6"" Intel Core i5-10300H 2.5GHz / 16GB RAM / 512GB SSD",680,https://images.versus.io/objects/acer-nitro-5-15-6-intel-core-i5-10300h-2-5ghz-16gb-ram-512gb-ssd.front.master.1588370752634.jpg,2.3,0,1,2204843,363.2,254,23.9,15.6,1920 x 1080px,141,"IPS, LCD, LED-backlit",0,0,16,2933,1,512,4 x 2.5GHz,8,0,1,1,0,1,1,0,0,0,1,0
"Asus ROG Zephyrus S15 (2020) GX502 15.6"" FHD Intel Core i7-10875H 2.3GHz / Nvidia GeForce RTX 2080 Super Laptop / 32GB RAM / 512GB SSD + 512GB SSD",1.2,https://images.versus.io/objects/asus-rog-zephyrus-s15-2020-gx502-15-6-fhd-intel-core-i7-10875h-2-3ghz-nvidia-geforce-rtx-2080-super-laptop-32gb-ram-512gb-ssd-512gb-ssd.front.master.1696347758435.jpg,1.9,0,1,1632963,360,252,18,15.6,1920 x 1080px,141,IPS,0,1,32,3200,1,512,8 x 2.3GHz,16,1,1,1,0,1,1,0,0,0,2,0
"Asus ROG Zephyrus S17 (2020) GX701 17.3"" FHD Intel Core i7-10875H 2.3GHz / Nvidia GeForce RTX 2070 Super Laptop / 32GB RAM / 1TB SSD",2299,https://images.versus.io/objects/asus-rog-zephyrus-s17-2020-gx701-17-3-fhd-intel-core-i7-10875h-2-3ghz-nvidia-geforce-rtx-2070-super-laptop-32gb-ram-1tb-ssd.front.master.1671537232248.jpg,2.6,0,1,1953.53,399,272,18,17.3,1920 x 1080px,127,"IPS, LED-backlit, LCD",0,1,32,3200,1,1024,8 x 2.3GHz,16,1,1,1,0,1,1,0,0,0,1,0
"Acer ConceptD 3 Ezel CC315-72-5308 15.6"" Intel Core i5-10300H 2.5GHz / 8GB RAM / 512GB SSD",549,https://images.versus.io/objects/acer-conceptd-3-ezel-cc315-72-5308-15-6-intel-core-i5-10300h-2-5ghz-8gb-ram-512gb-ssd.front.master.1696859464655.jpg,2.2,0,1,2042033,358,248,23,15.6,1920 x 1080px,141,"LCD, LED-backlit",1,0,8,2933,1,512,4 x 2.5GHz,8,1,1,0,0,1,1,0,1,1,1,0
"Asus ROG Strix GL553VD 15.6"" Intel Core i7 7700HQ 2.8GHz / 16GB / 1TB",1499,https://images.versus.io/objects/asus-rog-strix-gl553vd-15-6-intel-core-i7-7700hq-2-8ghz-16gb-1tb.front.master.1576684641045.jpg,2.49,0,1,1977.43,383.5,254,20.3,15.6,1920 x 1080px,141,"LED-backlit, LCD",0,1,16,2400,0,1000,4 x 2.8GHz,8,0,1,1,0,1,1,0,0,0,1,0
"LG Ultra PC 15U70P 15"" Intel Core i7-1165G7 2.8GHz / Nvidia GeForce GTX 1650 Ti Laptop / 16GB RAM / 512GB SSD",646,https://images.versus.io/objects/lg-ultra-pc-15u70p-15-intel-core-i7-1165g7-2-8ghz-nvidia-geforce-gtx-1650-ti-laptop-16gb-ram-512gb-ssd.front.master.1685967681414.jpg,1.9,0,1,1691993,362,246,19,15.6,1920 x 1080px,141,"LCD, IPS",0,0,16,4267,1,512,4 x 2.8GHz,8,1,1,0,0,1,1,0,0,1,1,0
"Toshiba Tecra Z40T 14"" Intel Core i7-5600U 2.6GHz / 8GB / 500GB",750,https://images.versus.io/objects/toshiba-tecra-z40t-14-intel-core-i7-5600u-2-6ghz-8gb-500gb.front.master.1576684641045.jpg,1.47,0,1,1619.73,337.8,236.2,20.3,14,1920 x 1080px,157,"LED-backlit, LCD",1,0,8,1600,0,500,2 x 2.6GHz,4,0,1,1,0,1,1,0,0,1,2,0
"Lenovo ThinkPad X1 Carbon 14"" Intel Core i5 5300U 2.3GHz / 4GB / 512GB",179,https://images.versus.io/objects/lenovo-thinkpad-x1-carbon-14-intel-core-i5-5300u-2-3ghz-4gb-512gb.front.master.1576684641045.jpg,1.27,0,1,1327153,330.2,225.8,17.8,14,1920 x 1080px,157,"IPS, LCD, LED-backlit",1,0,4,1600,1,512,2 x 2.3GHz,4,0,1,1,0,1,1,0,0,1,2,0
"MSI GS40 Phantom-001 14"" Intel Core i7 6700HQ 2.6GHz / 16GB / 128GB",999,https://images.versus.io/objects/msi-gs40-phantom-001-14-intel-core-i7-6700hq-2-6ghz-16gb-128gb.front.master.1576684641045.jpg,1.72,0,1,1948943,345.4,246.4,22.9,14,1920 x 1080px,157,"IPS, LCD, LED-backlit",0,1,16,2133,1,128,4 x 2.6GHz,8,0,1,1,0,1,1,0,0,0,1,0
"Asus ROG Zephyrus S15 (2020) GX502 15.6"" FHD Intel Core i7-10875H 2.3GHz / Nvidia GeForce RTX 2070 Super Laptop / 32GB RAM / 512GB SSD + 512GB SSD",1199,https://images.versus.io/objects/asus-rog-zephyrus-s15-2020-gx502-15-6-fhd-intel-core-i7-10875h-2-3ghz-nvidia-geforce-rtx-2070-super-laptop-32gb-ram-512gb-ssd-512gb-ssd.front.master.1696345537551.jpg,1.9,0,1,1632963,360,252,18,15.6,1920 x 1080px,141,IPS,0,1,32,3200,1,512,8 x 2.3GHz,16,1,1,1,0,1,1,0,0,0,2,0
"Apple MacBook Air (2015) 11""",35,https://images.versus.io/objects/apple-macbook-air-2015-11.front.master.1576684641045.jpg,1.08,0,1,989733,299.7,192,17.2,11.6,1366 x 768px,135,"IPS, LCD, LED-backlit",0,0,8,1600,1,512,2 x 2.2GHz,4,0,0,0,1,1,1,0,0,0,2,0
"Sony Vaio Fit 15A 15.5"" Intel Core i7-4500U 1.8GHz / 16GB / 1TB",30,https://images.versus.io/objects/sony-vaio-fit-15a-15-5-intel-core-i7-4500u-1-8ghz-16gb-1tb.front.master.1576684641045.jpg,2.29,0,1,1772463,377.2,254,18.5,15.5,2880 x 1620px,213,"LED-backlit, LCD",1,0,16,1600,1,1000,2 x 1.8GHz,4,0,1,1,0,1,1,0,1,0,2,0
"Dell Precision M2800 15.6"" Intel Core i7-4810MQ 2.8GHz / 8GB /1TB",291,https://images.versus.io/objects/dell-precision-m2800-15-6-intel-core-i7-4810mq-2-8ghz-8gb-1tb.front.master.1576684641045.jpg,2.54,0,0,3160223,379,250.4,33.3,15.6,1920 x 1080px,141,"LED-backlit, LCD",0,1,8,1600,0,1000,4 x 2.8GHz,8,0,1,1,0,1,1,0,0,1,2,0
"HP ProBook 455 G4 15.6"" AMD A-Series 9600P 2.4GHz / 8GB / 500GB",1.2,https://images.versus.io/objects/hp-probook-455-g4-15-6-amd-a-series-9600p-2-4ghz-8gb-500gb.front.master.1576684641045.jpg,2.08,0,1,2450443,382,262.9,24.4,15.6,1366 x 768px,100,"LED-backlit, LCD",0,1,8,2133,0,500,4 x 2.4GHz,8,0,1,1,0,1,1,0,0,1,1,0
"Asus ROG G752VL 17.3"" Intel Core i7-6700HQ 2.6GHz / 16GB / 1TB",1.7,https://images.versus.io/objects/asus-rog-g752vl-17-3-intel-core-i7-6700hq-2-6ghz-16gb-1tb.front.master.1576684641045.jpg,3.99,0,1,2728223,416.6,322.6,20.3,17.3,1920 x 1080px,127,"IPS, LCD, LED-backlit",0,0,16,2133,0,1000,4 x 2.6GHz,8,0,1,1,0,1,1,0,0,0,1,0
"Asus ROG G750JZ 17.3"" Intel Core i7-4700HQ 2.4GHz / 32GB / 1.5TB",1439,https://images.versus.io/objects/asus-rog-g750jz-17-3-intel-core-i7-4700hq-2-4ghz-32gb-1-5tb.front.master.1576684641045.jpg,4.49,0,1,6595153,408.9,317.5,50.8,17.3,1920 x 1080px,127,"LED-backlit, LCD",0,1,32,1600,1,1500,4 x 2.4GHz,8,0,1,1,0,1,1,0,0,0,1,0
"HP ProBook 440 G4 14"" Intel Core i3 7100U 2.4GHz / 4GB / 500GB",559,https://images.versus.io/objects/hp-probook-440-g4-14-intel-core-i3-7100u-2-4ghz-4gb-500gb.front.master.1576684641045.jpg,1.64,0,1,1665.13,343.2,239,20.3,14,1366 x 768px,111,"LED-backlit, LCD",0,1,4,2133,0,500,2 x 2.4GHz,4,0,1,1,0,1,1,0,0,1,1,0
"MSI GT60 2OD 15.6"" Intel Core i7-4700MQ 2.4GHz / 16GB / 1TB",999,https://images.versus.io/objects/msi-gt60-2od-15-6-intel-core-i7-4700mq-2-4ghz-16gb-1tb.front.master.1576684641045.jpg,3.49,0,1,4450053,380.2,260.1,45,15.6,1920 x 1080px,141,LCD,0,1,16,1600,1,1000,4 x 2.4GHz,8,0,1,1,0,1,1,0,0,0,2,0
"Acer TravelMate P645-SG 14"" Intel Core i7-5500U 2.4GHz / 8GB / 256GB",850,https://images.versus.io/objects/acer-travelmate-p645-sg-14-intel-core-i7-5500u-2-4ghz-8gb-256gb.front.master.1576684641045.jpg,1.5,0,1,1571283,327.7,236.2,20.3,14,1920 x 1080px,157,"IPS, LCD, LED-backlit",0,1,8,1600,1,256,2 x 2.4GHz,4,0,1,1,0,1,1,0,0,1,2,0
"Dell XPS 15 Touch 15.6"" Intel Core i7-4712HQ 2.3GHz / 16GB / 1TB",1219,https://images.versus.io/objects/dell-xps-15-touch-15-6-intel-core-i7-4712hq-2-3ghz-16gb-1tb.front.master.1576684641045.jpg,2.01,0,1,1676463,370.8,254,17.8,15.6,3200 x 1800px,235,"LED-backlit, LCD",1,0,16,1600,0,1000,4 x 2.3GHz,8,0,1,1,0,1,1,0,0,0,2,0
"Toshiba Tecra W50 15.6"" Intel Core i7-4810MQ 2.8GHz / 16GB / 500GB",1.28,https://images.versus.io/objects/toshiba-tecra-w50-15-6-intel-core-i7-4810mq-2-8ghz-16gb-500gb.front.master.1576684641045.jpg,2.72,0,1,3445153,381,254,35.6,15.6,1920 x 1080px,141,"LED-backlit, LCD",0,0,16,1600,1,500,4 x 2.8GHz,8,0,1,1,0,1,1,0,0,1,1,0
"Acer Aspire F15 F5-573 15.6"" Intel Core i5-6200U 2.3GHz / 8GB / 256GB",219,https://images.versus.io/objects/acer-aspire-f15-f5-573-15-6-intel-core-i5-6200u-2-3ghz-8gb-256gb.front.master.1576684641045.jpg,2.3,0,1,2803573,381,259.1,28.4,15.6,1920 x 1080px,141,"LED-backlit, LCD",0,1,8,2133,1,256,2 x 2.3GHz,8,0,1,1,0,1,1,0,0,0,1,0
"Asus ROG Strix GL702VM 17.3"" Intel Core i7 6700HQ 2.6GHz / 16GB / 1TB",1.3,https://images.versus.io/objects/asus-rog-strix-gl702vm-17-3-intel-core-i7-6700hq-2-6ghz-16gb-1tb.front.master.1576684641045.jpg,2.7,0,1,2774853,414.8,279.9,23.9,17.3,1920 x 1080px,127,"LED-backlit, LCD",0,1,16,2133,0,1000,4 x 2.6GHz,12,0,1,1,0,1,1,0,0,0,1,0
"HP EliteBook Folio 1040 G2 14"" Intel Core i7-5600U 2.6GHz / 8GB / 256GB",227,https://images.versus.io/objects/hp-elitebook-folio-1040-g2-14-intel-core-i7-5600u-2-6ghz-8gb-256gb.front.master.1576684641045.jpg,1.5,0,1,1199953,337.8,233.7,15.2,14,1920 x 1080px,157,"IPS, LCD, LED-backlit",1,1,8,1600,1,256,2 x 2.6GHz,4,0,0,1,0,1,1,0,0,1,2,0
"Acer Aspire R 15 R5-571T 15.6"" Intel Core i5 6200U 2.3GHz / 8GB / 1TB",518,https://images.versus.io/objects/acer-aspire-r-15-r5-571t-15-6-intel-core-i5-6200u-2-3ghz-8gb-1tb.front.master.1576684641045.jpg,2.4,0,1,1930743,370.8,256.5,20.3,15.6,1920 x 1080px,141,"IPS, LCD, LED-backlit",1,1,8,2133,0,1000,2 x 2.3GHz,8,0,1,1,0,1,1,0,0,0,2,0
"Lenovo ThinkPad P50 15.6"" Intel Xeon E3 1505M 2.8GHz / 8GB / 1.95TB",420,https://images.versus.io/objects/lenovo-thinkpad-p50-15-6-intel-xeon-e3-1505m-2-8ghz-8gb-1-95tb.front.master.1576684641045.jpg,2.54,0,1,2465173,377.4,252.2,25.9,15.6,1920 x 1080px,141,"IPS, LCD, LED-backlit",0,0,8,2133,1,1095,4 x 2.8GHz,8,0,1,1,0,1,1,0,0,1,2,0
"MSI GE72 6QD Apache Pro-029 17.3"" Intel Core i7 6700HQ 2.6GHz / 16GB / 1TB",1238,https://images.versus.io/objects/msi-ge72-6qd-apache-pro-029-17-3-intel-core-i7-6700hq-2-6ghz-16gb-1tb.front.master.1576684641045.jpg,2.9,0,1,3589163,419.9,287.8,29.7,17.3,1920 x 1080px,127,"IPS, LCD",0,1,16,2133,0,1000,4 x 2.6GHz,8,0,1,1,0,1,1,0,0,0,1,0
"HP Envy 17 17.3"" Intel Core i7-4702MQ 2.2GHz / 8GB / 1TB",1064,https://images.versus.io/objects/hp-envy-17-17-3-intel-core-i7-4702mq-2-2ghz-8gb-1tb.front.master.1576684641045.jpg,2.79,0,1,3503983,416.1,274.3,30.7,17.3,1920 x 1080px,127,"LED-backlit, LCD",0,1,8,1600,0,1000,4 x 2.2GHz,8,0,1,1,0,1,1,0,0,1,2,0
"Dell Alienware 13 R2 13"" Intel Core i7-6500U 2.5GHz / 16GB / 256GB",554,https://images.versus.io/objects/dell-alienware-13-r2-13-intel-core-i7-6500u-2-5ghz-16gb-256gb.front.master.1576684641045.jpg,2.05,0,1,1348493,327.9,235,17.5,13,3200 x 1800px,282,"IPS, LCD, LED-backlit",1,0,16,1600,1,256,2 x 2.5GHz,4,0,1,1,0,1,1,0,0,0,2,0
"Lenovo ThinkPad T460 14"" Intel Core i5-6300U 2.4GHz / 8GB / 256GB",520,https://images.versus.io/objects/lenovo-thinkpad-t460-14-intel-core-i5-6300u-2-4ghz-8gb-256gb.front.master.1576684641045.jpg,1.44,0,1,1662823,339.1,232.4,21.1,14,1920 x 1080px,157,"IPS, LCD, LED-backlit",0,1,8,2133,1,256,2 x 2.4GHz,8,0,1,1,0,1,1,0,0,1,2,0
"Lenovo IdeaPad Y700 (15) 15.6"" Intel Core i7-6700HQ 2.6GHz / 8GB / 1TB",458,https://images.versus.io/objects/lenovo-ideapad-y700-15-15-6-intel-core-i7-6700hq-2-6ghz-8gb-1tb.front.master.1576684641045.jpg,2.59,0,1,2774023,386.8,276.9,25.9,15.6,1920 x 1080px,141,"IPS, LCD, LED-backlit",1,1,8,2133,1,1000,4 x 2.6GHz,8,0,1,1,0,1,1,0,0,0,2,0
"Asus ROG G752VS-XB72K OC Edition 17.3"" Intel Core i7 6820HK 2.7GHz / 32GB / 256GB",1.7,https://images.versus.io/objects/asus-rog-g752vs-xb72k-oc-edition-17-3-intel-core-i7-6820hk-2-7ghz-32gb-256gb.front.master.1576684641045.jpg,4.31,0,1,2728223,416.6,322.6,20.3,17.3,1920 x 1080px,127,LCD,0,0,32,2400,1,256,4 x 2.7GHz,12,0,1,1,0,1,1,0,0,0,1,0
